"","date","CHGG","TWOU","EDU","JAN","index"
"1",2015-01-02,NA,NA,NA,NA,0
"2",2015-01-05,-0.855657354278506,-0.58354413033718,-1.09946709429231,3.37642108425463,0.837752505346631
"3",2015-01-06,-0.863771884996375,-0.608498433094519,-1.08971855230556,3.59185601636162,1.02986714596517
"4",2015-01-07,-0.862227176423678,-0.60587265577761,-1.09402832603599,3.35656408440271,0.794435926165429
"5",2015-01-08,-0.860682035550046,-0.629060280437709,-1.0951618660456,4.01111343659402,1.42620925456067
"6",2015-01-09,-0.855657354278506,-0.649611892550358,-1.09153361601116,4.02626497370653,1.42946211086651
"7",2015-01-12,-0.852176093790425,-0.628622901014313,-1.08676778421629,3.94838488218987,1.38081810316884
"8",2015-01-13,-0.853723580793966,-0.632996403680378,-1.07881558292486,3.9801678950352,1.414632327636
"9",2015-01-14,-0.861840922452237,-0.651797708228539,-1.07836082990956,3.83095175780523,1.23895229721489
"10",2015-01-15,-0.855657354278506,-0.670156107073244,-1.08154331557907,3.75993517480922,1.1525783978784
"11",2015-01-16,-0.867631753517665,-0.672778395874981,-1.09606855258763,3.63004225750534,0.993563555525066
"12",2015-01-20,-0.866859998172687,-0.65660632997631,-1.09742823608557,3.66779372581333,1.04689916157876
"13",2015-01-21,-0.868789190125787,-0.645239924015098,-1.10467365342914,3.70505847414028,1.08635570657026
"14",2015-01-22,-0.871103301965341,-0.647863113181932,-1.11890537182401,3.83095175780523,1.19307997083395
"15",2015-01-23,-0.856044036811352,-0.643491003079732,-1.12769209361253,3.64897559305072,1.02174845954711
"16",2015-01-26,-0.850628185982056,-0.639555792712053,-1.13982647313732,3.59185601636162,0.961845564530198
"17",2015-01-27,-0.855270645194104,-0.636494868114785,-1.13915334087626,3.23723128303305,0.606312428847907
"18",2015-01-28,-0.8517891654428,-0.649611892550358,-1.14386254700574,3.37642108425463,0.731157479255728
"19",2015-01-29,-0.864930122458784,-0.658354779830238,-1.14386254700574,3.33668868596039,0.669541236665627
"20",2015-01-30,-0.868789190125787,-0.649174702773862,-1.14498291649647,3.51439063449625,0.851443825100134
"21",2015-02-02,-0.869946360937324,-0.657480518673878,-1.1474464044538,3.51439063449625,0.839517350431249
"22",2015-02-03,-0.87148888145356,-0.643491003079732,-1.14565492710331,3.51439063449625,0.853755822859651
"23",2015-02-04,-0.866088133427049,-0.663162946678176,-1.13915334087626,3.777930900982,1.10952648000052
"24",2015-02-05,-0.864930122458784,-0.653983445085099,-1.14094804484746,3.79576935845002,1.13590774605868
"25",2015-02-06,-0.866088133427049,-0.649611892550358,-1.14229348666103,3.91579017496073,1.2577966623223
"26",2015-02-09,-0.867245898737267,-0.639555792712053,-1.139602109307,3.91579017496073,1.26938637420441
"27",2015-02-10,-0.867631753517665,-0.634745712059323,-1.13915334087626,3.84828532651142,1.20675452005818
"28",2015-02-11,-0.870332041661589,-0.637369462505517,-1.13982647313732,3.83095175780523,1.18342378050081
"29",2015-02-12,-0.875343259601913,-0.666222509451055,-1.14049944001887,3.93218744057326,1.25012223150143
"30",2015-02-13,-0.874957939794418,-0.670593173392307,-1.13645963973547,3.11835254978982,0.43634179686763
"31",2015-02-17,-0.877269383565317,-0.687200297029745,-1.1362350739356,3.09864727994082,0.397942525410161
"32",2015-02-18,-0.874187234792135,-0.686326330846272,-1.13039191662358,3.75993517480922,1.06902969254723
"33",2015-02-19,-0.874572592054371,-0.683267141051469,-1.12769209361253,3.55328800084043,0.867756174122059
"34",2015-02-20,-0.870717676429516,-0.670593173392307,-1.11348909721044,3.63004225750534,0.975242310473077
"35",2015-02-23,-0.877269383565317,-0.664911245742058,-1.10874440968464,3.66779372581333,1.01686868682131
"36",2015-02-24,-0.865316159501799,-0.657480518673878,-1.09584189603133,3.53387711235774,0.915238538150732
"37",2015-02-25,-0.793466247698458,-0.66272584529416,-1.09992007021138,3.43582142019698,0.879709256992983
"38",2015-02-26,-0.802053726005976,-0.653546370663154,-1.11258571520643,3.39625339047873,0.828067578603174
"39",2015-02-27,-0.817249678403367,-0.653983445085099,-1.11958190292996,3.35656408440271,0.765749057984278
"40",2015-03-02,-0.812188312178994,-0.627310817899105,-1.12791715224273,3.39625339047873,0.828837108157902
"41",2015-03-03,-0.808681956832843,-0.640430329468928,-1.11777751086442,3.43582142019698,0.868931623030787
"42",2015-03-04,-0.809071653513646,-0.654420599988898,-1.11619805326966,3.51439063449625,0.934700327724052
"43",2015-03-05,-0.78760499027561,-0.664474236969625,-1.10897046338636,3.45554426313958,0.894494572507983
"44",2015-03-06,-0.795809378790416,-0.657043467465579,-1.09402832603599,3.61100021253349,1.06411904024151
"45",2015-03-09,-0.805173717831258,-0.659666151444335,-1.10241060504168,3.41605569291111,0.848805218593838
"46",2015-03-10,-0.807512764549203,-0.64611436214568,-1.0969750343093,3.25711596853293,0.706513807528746
"47",2015-03-11,-0.808681956832843,-0.598869456007269,-1.09742823608557,3.23723128303305,0.732251634107369
"48",2015-03-12,-0.799322545074302,-0.594491614048123,-1.09742823608557,3.27700918016647,0.785766784958469
"49",2015-03-13,-0.791122354272624,-0.51028971542464,-1.09606855258763,3.11835254978982,0.720871927504932
"50",2015-03-16,-0.797371006747658,-0.496664760416336,-1.09629519883529,3.13809450467926,0.747763538679969
"51",2015-03-17,-0.798151704590804,-0.458818835443022,-1.08676778421629,3.09864727994082,0.754908955690703
"52",2015-03-18,-0.799322545074302,-0.433695859731288,-1.07745126255867,3.09864727994082,0.788177612576561
