"","date","SHOP","AMZN","ETSY","MELI","W","index"
"1",2015-01-02,NA,NA,NA,NA,NA,0
"2",2015-01-05,-0.944409485226925,-1.58358613800863,-0.673222962369919,-1.0792909458578,-0.985609221427031,-5.26611875289031
"3",2015-01-06,-0.944409485226925,-1.58980424221392,-0.673222962369919,-1.08206933998219,-0.971780278688021,-5.26128630848098
"4",2015-01-07,-0.944409485226925,-1.59657568626813,-0.673222962369919,-1.08604649987397,-0.965296398017887,-5.26555103175682
"5",2015-01-08,-0.944409485226925,-1.59350486745302,-0.673222962369919,-1.08647631463021,-0.968204174663141,-5.26581780434321
"6",2015-01-09,-0.944409485226925,-1.59150266296062,-0.673222962369919,-1.08321617708769,-0.978700461541068,-5.27105174918623
"7",2015-01-12,-0.944409485226925,-1.59496685806005,-0.673222962369919,-1.08567039683918,-0.984272949525191,-5.28254265202126
"8",2015-01-13,-0.944409485226925,-1.60038031169408,-0.673222962369919,-1.08926928715223,-0.974013836662966,-5.28129588310613
"9",2015-01-14,-0.944409485226925,-1.59711512304725,-0.673222962369919,-1.08980623954964,-0.969657339614789,-5.27421114980853
"10",2015-01-15,-0.944409485226925,-1.59855672656188,-0.673222962369919,-1.09240087157417,-0.969545573473454,-5.27813561920634
"11",2015-01-16,-0.944409485226925,-1.60475093069346,-0.673222962369919,-1.09533410494446,-0.957682274573312,-5.27539975780808
"12",2015-01-20,-0.944409485226925,-1.60103708563571,-0.673222962369919,-1.09098738842474,-0.966415008006444,-5.27607192966374
"13",2015-01-21,-0.944409485226925,-1.60231119868077,-0.673222962369919,-1.08533008682832,-0.979258037024499,-5.28453177013044
"14",2015-01-22,-0.944409485226925,-1.59465290132872,-0.673222962369919,-1.08421949041267,-0.980818891348636,-5.27732373068687
"15",2015-01-23,-0.944409485226925,-1.58181690895103,-0.673222962369919,-1.07963158353758,-0.988503016860973,-5.26758395694643
"16",2015-01-26,-0.944409485226925,-1.57978172582592,-0.673222962369919,-1.07670857420043,-0.989281762299487,-5.26340450992268
"17",2015-01-27,-0.944409485226925,-1.58246567826935,-0.673222962369919,-1.07631394716453,-0.993062139045069,-5.26947421207578
"18",2015-01-28,-0.944409485226925,-1.58532542880968,-0.673222962369919,-1.0753093229325,-0.99428445287231,-5.27255165221134
"19",2015-01-29,-0.944409485226925,-1.58811520507242,-0.673222962369919,-1.07857372901286,-1.00161047081617,-5.2859318524983
"20",2015-01-30,-0.944409485226925,-1.5803815344181,-0.673222962369919,-1.07604486723026,-1.00404946711276,-5.27810831635796
"21",2015-02-02,-0.944409485226925,-1.53822453217838,-0.673222962369919,-1.08271446459978,-0.999169968121869,-5.23774141249687
"22",2015-02-03,-0.944409485226925,-1.52838872118696,-0.673222962369919,-1.0798467241628,-0.993284409350771,-5.21915230229738
"23",2015-02-04,-0.944409485226925,-1.52929957624688,-0.673222962369919,-1.07347908414198,-0.979592559463121,-5.20000366744883
"24",2015-02-05,-0.944409485226925,-1.52811148246314,-0.673222962369919,-1.07584754924461,-0.982713391020754,-5.20430487032535
"25",2015-02-06,-0.944409485226925,-1.5190564122391,-0.673222962369919,-1.07261757713933,-0.97345554635675,-5.18276198333202
"26",2015-02-09,-0.944409485226925,-1.51866980209269,-0.673222962369919,-1.07882476253777,-0.978700461541068,-5.19382747376837
"27",2015-02-10,-0.944409485226925,-1.52235661676507,-0.673222962369919,-1.07975709350299,-0.981264727256898,-5.20101088512181
"28",2015-02-11,-0.944409485226925,-1.51993858340781,-0.673222962369919,-1.07480695567126,-0.978031268940774,-5.19040925561668
"29",2015-02-12,-0.944409485226925,-1.51781726053181,-0.673222962369919,-1.07572197236516,-0.972003691449774,-5.18317537194358
"30",2015-02-13,-0.944409485226925,-1.51580449778127,-0.673222962369919,-1.06836222546597,-0.961155070201118,-5.1629542410452
"31",2015-02-17,-0.944409485226925,-1.51118224418848,-0.673222962369919,-1.07186367992225,-0.972450481888013,-5.17312885359559
"32",2015-02-18,-0.944409485226925,-1.51752975793167,-0.673222962369919,-1.06852386831741,-0.969992599129934,-5.17367867297586
"33",2015-02-19,-0.944409485226925,-1.51957182691385,-0.673222962369919,-1.06715870559034,-0.968874915593001,-5.17323789569403
"34",2015-02-20,-0.944409485226925,-1.51398959391568,-0.673222962369919,-1.07094811509601,-0.955776689523264,-5.1583468461318
"35",2015-02-23,-0.944409485226925,-1.50936635919386,-0.673222962369919,-1.07019401353179,-0.943651747404808,-5.1408445677273
"36",2015-02-24,-0.944409485226925,-1.51285883315513,-0.673222962369919,-1.06904472549712,-0.94477578837718,-5.14431179462628
"37",2015-02-25,-0.944409485226925,-1.51439624354645,-0.673222962369919,-1.06737427031634,-0.94825854680076,-5.14766150826039
"38",2015-02-26,-0.944409485226925,-1.50766925035747,-0.673222962369919,-1.06426570428765,-0.953309438209497,-5.14287684045147
"39",2015-02-27,-0.944409485226925,-1.50823499012066,-0.673222962369919,-1.0700324143054,-0.955216076895826,-5.15111592891872
"40",2015-03-02,-0.944409485226925,-1.51283900454656,-0.673222962369919,-1.07010422762786,-0.95689772458667,-5.15747340435794
"41",2015-03-03,-0.944409485226925,-1.50738136831366,-0.673222962369919,-1.06591900828191,-0.954543244570983,-5.14547606876339
"42",2015-03-04,-0.944409485226925,-1.50842357442507,-0.673222962369919,-1.06484083051627,-0.935550645503155,-5.12644749804134
"43",2015-03-05,-0.944409485226925,-1.51029916156239,-0.673222962369919,-1.06951164008426,-0.894273835592022,-5.09171708483552
"44",2015-03-06,-0.944409485226925,-1.50522715930283,-0.673222962369919,-1.06825446110364,-0.906975536814923,-5.09808960481824
"45",2015-03-09,-0.944409485226925,-1.51290844226927,-0.673222962369919,-1.07328166958015,-0.895295646513889,-5.09911820596015
"46",2015-03-10,-0.944409485226925,-1.51442601879553,-0.673222962369919,-1.08081474135506,-0.892683950242771,-5.1055571579902
"47",2015-03-11,-0.944409485226925,-1.52339694448611,-0.673222962369919,-1.0827682194306,-0.901535735269639,-5.12533334678319
"48",2015-03-12,-0.944409485226925,-1.52650724055704,-0.673222962369919,-1.07810749058917,-0.898019505835922,-5.12026668457898
"49",2015-03-13,-0.944409485226925,-1.51870946981131,-0.673222962369919,-1.0756322670669,-0.883248653544255,-5.09522283801931
"50",2015-03-16,-0.944409485226925,-1.52233681054071,-0.673222962369919,-1.07954194969351,-0.853818174103311,-5.07332938193437
"51",2015-03-17,-0.944409485226925,-1.51959167758972,-0.673222962369919,-1.07706731016864,-0.853475102874623,-5.06776653822983
"52",2015-03-18,-0.944409485226925,-1.52100892873065,-0.673222962369919,-1.07604486723026,-0.872087379221608,-5.08677362277937
"53",2015-03-19,-0.944409485226925,-1.51781726053181,-0.673222962369919,-1.07851993668497,-0.867411335427666,-5.08138098024129
"54",2015-03-20,-0.944409485226925,-1.5197006849821,-0.673222962369919,-1.08455984971824,-0.846723836203303,-5.06861681850049
"55",2015-03-23,-0.944409485226925,-1.5144954437868,-0.673222962369919,-1.08154961922901,-0.859647633338971,-5.07332514395163
"56",2015-03-24,-0.944409485226925,-1.51784698605739,-0.673222962369919,-1.08004392616098,-0.856447841043931,-5.07197120085914
"57",2015-03-25,-0.944409485226925,-1.51885815571747,-0.673222962369919,-1.0855808528667,-0.865813775961922,-5.08788523214293
"58",2015-03-26,-0.944409485226925,-1.52196025615947,-0.673222962369919,-1.08778343998512,-0.871859362624945,-5.09923550636638
"59",2015-03-27,-0.944409485226925,-1.52553663950617,-0.673222962369919,-1.08724629114075,-0.86752543310442,-5.09794081134818
"60",2015-03-30,-0.944409485226925,-1.52235661676507,-0.673222962369919,-1.08466733984745,-0.855190307929009,-5.07984671213838
"61",2015-03-31,-0.944409485226925,-1.51836251281615,-0.673222962369919,-1.08678073765831,-0.842257090645063,-5.06503278871636
"62",2015-04-01,-0.944409485226925,-1.52083056632957,-0.673222962369919,-1.08525845327248,-0.857590844178295,-5.08131231137718
"63",2015-04-02,-0.944409485226925,-1.52265385583734,-0.673222962369919,-1.08285781918543,-0.866270257054193,-5.0894143796738
"64",2015-04-06,-0.944409485226925,-1.52068191535487,-0.673222962369919,-1.08056379030789,-0.872543384958983,-5.09142153821859
"65",2015-04-07,-0.944409485226925,-1.51593341382165,-0.673222962369919,-1.0785378721761,-0.863987450567672,-5.07609118416227
"66",2015-04-08,-0.944409485226925,-1.5185409279461,-0.673222962369919,-1.07728252786736,-0.861932148177956,-5.07538805158825
"67",2015-04-09,-0.944409485226925,-1.51180728510158,-0.673222962369919,-1.07437633806007,-0.848440980944879,-5.05225705170338
"68",2015-04-10,-0.944409485226925,-1.50948545384872,-0.673222962369919,-1.07238425554508,-0.850043194532663,-5.04954535152331
"69",2015-04-13,-0.944409485226925,-1.51036862003578,-0.673222962369919,-1.06897287257182,-0.839277464869521,-5.03625140507397
"70",2015-04-14,-0.944409485226925,-1.51065636467885,-0.673222962369919,-1.07057106218714,-0.834346597327983,-5.03320647179082
"71",2015-04-15,-0.944409485226925,-1.50792728709321,-0.673222962369919,-1.06902674873976,-0.835378954024113,-5.02996543745393
"72",2015-04-16,-0.944409485226925,-1.50957475505735,-0.673222962369919,-1.06789522423642,-0.838475028572328,-5.03357745546294
"73",2015-04-17,-0.944409485226925,-1.50700418813136,-0.673222962369919,-1.06974509789907,-0.829985984658836,-5.02436771828611
"74",2015-04-20,-0.944409485226925,-1.51740086628554,-0.71124296390164,-1.07184573865853,-0.858162242084569,-5.1030612961572
"75",2015-04-21,-0.944409485226925,-1.50355902078468,-0.753271057930676,-1.06550573022225,-0.857247944282768,-5.12399323844729
"76",2015-04-22,-0.944409485226925,-1.50190049372839,-0.739950414596821,-1.05935713287101,-0.852102580319195,-5.09772010674234
"77",2015-04-23,-0.944409485226925,-1.50327104185018,-0.749824184189721,-1.05739623557481,-0.855304663816349,-5.11020561065799
"78",2015-04-24,-0.944409485226925,-1.50308234654957,-0.741988239320646,-1.0557226771928,-0.846723836203303,-5.09192658449324
"79",2015-04-27,-0.944409485226925,-1.44819355703634,-0.742615240127563,-1.05840374393106,-0.850500861824593,-5.04412288814648
"80",2015-04-28,-0.944409485226925,-1.45472308594144,-0.737598818929542,-1.05953698531048,-0.837901804255903,-5.03417017966429
