"","date","ISRG","IRBT","NVDA","TER","YASKY","FANUY","index"
"1",2015-01-02,NA,NA,NA,NA,NA,NA,0
"2",2015-01-05,-1.34135650547933,-1.02620067926615,-0.780196715429235,-1.15526237276655,-1.47260212945068,-0.616433431309356,-6.39205183370131
"3",2015-01-06,-1.35404977081122,-1.06610509353565,-0.780729097596102,-1.16447321575535,-1.47260212945068,-0.747010149138352,-6.58496945628736
"4",2015-01-07,-1.34791168559872,-1.09847541553959,-0.781668578978828,-1.17913028466585,-1.47260212945068,-0.777433351941828,-6.65722144617549
"5",2015-01-08,-1.34468067789606,-1.09504506639829,-0.781746869571949,-1.17540755265311,-1.56114149522422,-0.748799680967975,-6.7068213427116
"6",2015-01-09,-1.33291608514194,-1.08704351814619,-0.780619490149506,-1.16074084587038,-1.56114149522422,-0.691550635202118,-6.61401206973437
"7",2015-01-12,-1.34668758704914,-1.10381286732144,-0.780494223603379,-1.16223407080667,-1.56114149522422,-0.757746620735436,-6.71211686474028
"8",2015-01-13,-1.34142461600174,-1.12059878546368,-0.780885680274628,-1.18532922321678,-1.56114149522422,-0.759536323409717,-6.74891612359078
"9",2015-01-14,-1.34579193721681,-1.12632518710415,-0.780932655824799,-1.19300592866584,-1.56114149522422,-0.723750825950531,-6.73094802998635
"10",2015-01-15,-1.33023189595779,-1.16416848815023,-0.780807390526687,-1.19127346081422,-1.56114149522422,-0.766694864756503,-6.79431759542966
"11",2015-01-16,-1.34270691248082,-1.16876135000565,-0.781026603726819,-1.19374825917807,-1.56114149522422,-0.763115815951451,-6.81050043656704
"12",2015-01-20,-1.3356100721759,-1.13434533917335,-0.780462909132736,-1.18309841929622,-1.56114149522422,-0.682607592718284,-6.6772658277207
"13",2015-01-21,-1.34553116026826,-1.13472735800029,-0.780368956564638,-1.18086669348843,-1.56114149522422,-0.539528496171614,-6.54216415971745
"14",2015-01-22,-1.34980384402578,-1.13396340207405,-0.779930519474974,-1.17416605440041,-1.56114149522422,-0.473338894252064,-6.4723442094515
"15",2015-01-23,-1.34157213330106,-1.08513899698025,-0.779382461545052,-1.1689489010612,-1.53606854685904,-0.419654021904465,-6.33076506165107
"16",2015-01-26,-1.35042683915088,-1.0855199715214,-0.779288508743419,-1.1724275402508,-1.49513279603986,-0.35162504400952,-6.23442069971588
"17",2015-01-27,-1.34652887346074,-1.07714223414227,-0.779429436350265,-1.16372691414089,-1.49513279603986,-0.276395580897036,-6.13835583503107
"18",2015-01-28,-1.35988536878282,-1.06534415501996,-0.780979631304722,-1.17565581911289,-1.49513279603986,-0.290727910229551,-6.16772568048981
"19",2015-01-29,-1.36739427852531,-1.09961897153361,-0.7814806867501,-1.17913028466585,-1.50144544800308,-0.145538519594291,-6.07460818907224
"20",2015-01-30,-1.36466323944011,-1.09618839043733,-0.780744756196569,-1.18210663349121,-1.51720378959447,-0.407124930721215,-6.34803173988091
"21",2015-02-02,-1.37649975166656,-1.15154450441937,-0.78165292083924,-1.19498519374604,-1.52271116978388,-0.569933994138987,-6.59732753459408
"22",2015-02-03,-1.36223544114629,-1.12899814196157,-0.78099528679276,-1.19770546396812,-1.52428397337535,-0.466181888735393,-6.46040019597948
"23",2015-02-04,-1.36050691571134,-1.12441621659912,-0.780228030164771,-1.1828504898899,-1.52428397337535,-0.469760143329149,-6.44204576906963
"24",2015-02-05,-1.36473098670505,-1.13587346708514,-0.780149738779793,-1.18061866209245,-1.53685349792202,-0.407124930721215,-6.40535128330567
"25",2015-02-06,-1.3520122389462,-1.24356823301645,-0.779633002981985,-1.17466268675612,-1.53096434895805,-0.460814082229137,-6.54165459288794
"26",2015-02-09,-1.35642567774889,-1.17680198851933,-0.779773932037562,-1.17416605440041,-1.53842313310806,-0.489440690648501,-6.51503147646275
"27",2015-02-10,-1.36882677226737,-1.21322351371826,-0.779805250187324,-1.17317270414674,-1.53842313310806,-0.553836927993413,-6.62728830142117
"28",2015-02-11,-1.37042791271726,-1.20286436662702,-0.778912688753528,-1.16024300377705,-1.53842313310806,-0.330135048226722,-6.38100615320963
"29",2015-02-12,-1.37148745075028,-1.17909998677243,-0.779131918125468,-1.16472196159327,-1.53410585395888,-0.324762145759661,-6.35330931695999
"30",2015-02-13,-1.36158024803912,-1.17335554111767,-0.776798635378473,-1.16298056408915,-1.53410585395888,-0.0522560927666174,-6.06107693534991
"31",2015-02-17,-1.35816714791897,-1.16646476169388,-0.776782974823725,-1.1619852184851,-1.51011667984867,-0.0594330285598436,-6.03294981133019
"32",2015-02-18,-1.35446847583093,-1.15269169854524,-0.776673353700089,-1.16521942091538,-1.51011667984867,0.141633809191047,-5.81753581964926
"33",2015-02-19,-1.3557582933463,-1.14733860703702,-0.777080515106462,-1.16671149463956,-1.51011667984867,0.235045967963742,-5.72195962201428
"34",2015-02-20,-1.35733041393948,-1.14122287348134,-0.776986555476886,-1.16024300377705,-1.51011667984867,0.245826175723804,-5.70007335079963
"35",2015-02-23,-1.35524920993179,-1.15498646965556,-0.776735993106959,-1.15202277046956,-1.51011667984867,0.33028663229373,-5.61882449071881
"36",2015-02-24,-1.35480793261534,-1.14695629870123,-0.777017876378163,-1.1575041687706,-1.46428530916331,0.130857906804578,-5.76971367882406
"37",2015-02-25,-1.3568780890264,-1.13281735152085,-0.776782974823725,-1.14778373084209,-1.46428530916331,0.191928256673071,-5.6866191987033
"38",2015-02-26,-1.36163675831567,-1.11945379913238,-0.777049197254845,-1.15700610163757,-1.46428530916331,0.190132265277764,-5.689298900226
"39",2015-02-27,-1.36313898704644,-1.09428284471728,-0.776955234538488,-1.15675702865715,-1.46428530916331,0.184743221363488,-5.67067618275919
"40",2015-03-02,-1.37028133848776,-1.10190646163543,-0.777174477452461,-1.16472196159327,-1.46428530916331,0.166779792035084,-5.71158975629715
"41",2015-03-03,-1.36660449479166,-1.07828435941878,-0.776328824304053,-1.1485320265343,-1.46428530916331,0.136245797114113,-5.69778921709799
"42",2015-03-04,-1.36004359641623,-1.0714324509576,-0.776986555476886,-1.15625885148058,-1.46428530916331,0.120081908423263,-5.70892485507134
"43",2015-03-05,-1.36964996895864,-1.06610509353565,-0.7765950505347,-1.16148748230428,-1.46428530916331,0.15420648498678,-5.6839164195098
"44",2015-03-06,-1.37082248006776,-1.02278436008207,-0.775921650290616,-1.16521942091538,-1.46428530916331,0.227859205602987,-5.57117401491614
