"","date","TDOC"
"179","2016/03/15",11.47000027
"180","2016/03/16",11.59000015
"181","2016/03/17",10.64999962
"182","2016/03/18",11.21000004
"183","2016/03/21",11.22999954
"184","2016/03/22",10.93999958
"185","2016/03/23",10.34000015
"186","2016/03/24",9.93999958
"187","2016/03/28",9.5
"188","2016/03/29",9.949999809
"189","2016/03/30",9.899999619
"190","2016/03/31",9.600000381
"191","2016/04/01",10.03999996
"192","2016/04/04",10.02000046
"193","2016/04/05",10.13000011
"194","2016/04/06",10.06999969
"195","2016/04/07",10.30000019
"196","2016/04/08",10.52000046
"197","2016/04/11",10.06999969
"198","2016/04/12",10.36999989
"199","2016/04/13",11.22000027
"200","2016/04/14",11.18999958
"201","2016/04/15",11.23999977
"202","2016/04/18",11.14000034
"203","2016/04/19",11.39999962
"204","2016/04/20",11.57999992
"205","2016/04/21",12.02999973
"206","2016/04/22",11.89999962
"207","2016/04/25",12
"208","2016/04/26",12.07999992
"209","2016/04/27",12.05000019
"210","2016/04/28",12.06999969
"211","2016/04/29",12.14999962
"212","2016/05/02",12.34000015
"213","2016/05/03",11.63000011
"214","2016/05/04",11.25
"215","2016/05/05",10.76000023
"216","2016/05/06",10.85000038
"217","2016/05/09",11.81999969
"218","2016/05/10",11.80000019
"219","2016/05/11",11.64000034
"220","2016/05/12",11.06999969
"221","2016/05/13",10.05000019
"222","2016/05/16",9.579999924
"223","2016/05/17",10.25
"224","2016/05/18",10.02999973
"225","2016/05/19",9.720000267
"226","2016/05/20",9.770000458
"227","2016/05/23",9.989999771
"228","2016/05/24",9.920000076
"229","2016/05/25",10.27999973
"230","2016/05/26",10.84000015
"231","2016/05/27",11.31000042
"232","2016/05/31",11.43000031
"233","2016/06/01",11.61999989
"234","2016/06/02",11.88000011
"235","2016/06/03",11.81999969
"236","2016/06/06",12.25
"237","2016/06/07",12.53999996
"238","2016/06/08",12.61999989
"239","2016/06/09",12.65999985
"240","2016/06/10",12.52999973
"241","2016/06/13",12.5
"242","2016/06/14",12.63000011
"243","2016/06/15",13.03999996
"244","2016/06/16",13.35999966
"245","2016/06/17",12.85999966
"246","2016/06/20",12.94999981
"247","2016/06/21",12.89000034
"248","2016/06/22",12.88000011
"249","2016/06/23",12.94999981
"250","2016/06/24",13.07999992
"251","2016/06/27",13.14000034
"252","2016/06/28",14.57999992
"253","2016/06/29",15.93000031
"254","2016/06/30",16.02000046
"255","2016/07/01",16.07999992
"256","2016/07/05",16.02000046
"257","2016/07/06",15.93000031
"258","2016/07/07",14.88000011
"259","2016/07/08",15.27999973
"260","2016/07/11",15.39999962
"261","2016/07/12",15.98999977
"262","2016/07/13",16.13999939
"263","2016/07/14",15.51000023
"264","2016/07/15",15.44999981
"265","2016/07/18",16.04999924
"266","2016/07/19",17.51000023
"267","2016/07/20",17.54000092
"268","2016/07/21",16.89999962
"269","2016/07/22",17.65999985
"270","2016/07/25",17.46999931
"271","2016/07/26",17.14999962
"272","2016/07/27",17.40999985
"273","2016/07/28",17.78000069
"274","2016/07/29",17.44000053
"275","2016/08/01",17.54000092
"276","2016/08/02",17.97999954
"277","2016/08/03",17.77000046
"278","2016/08/04",15.09000015
"279","2016/08/05",16.63999939
"280","2016/08/08",16.36000061
"281","2016/08/09",16.59000015
"282","2016/08/10",17.23999977
"283","2016/08/11",17.23999977
"284","2016/08/12",17.55999947
"285","2016/08/15",18.21999931
"286","2016/08/16",17.88999939
"287","2016/08/17",18.78000069
"288","2016/08/18",19
"289","2016/08/19",18.37000084
"290","2016/08/22",17.97999954
"291","2016/08/23",18
"292","2016/08/24",17.51000023
"293","2016/08/25",16.69000053
"294","2016/08/26",17.36000061
"295","2016/08/29",17.54999924
"296","2016/08/30",17.69000053
"297","2016/08/31",17.82999992
"298","2016/09/01",17.97999954
"299","2016/09/02",18.5
"300","2016/09/06",18.90999985
"301","2016/09/07",18.95000076
"302","2016/09/08",19.06999969
"303","2016/09/09",18.60000038
"304","2016/09/12",18.39999962
"305","2016/09/13",17.96999931
"306","2016/09/14",18.36000061
"307","2016/09/15",18.97999954
"308","2016/09/16",19.02000046
"309","2016/09/19",18.89999962
"310","2016/09/20",18.61000061
"311","2016/09/21",18.98999977
"312","2016/09/22",18.95000076
"313","2016/09/23",18.63999939
"314","2016/09/26",18.54999924
"315","2016/09/27",18.20000076
"316","2016/09/28",18.11000061
"317","2016/09/29",18.01000023
"318","2016/09/30",18.30999947
"319","2016/10/03",17.82999992
"320","2016/10/04",17.64999962
"321","2016/10/05",17.61000061
"322","2016/10/06",16.54999924
"323","2016/10/07",16.70000076
"324","2016/10/10",17.12000084
"325","2016/10/11",16.47999954
"326","2016/10/12",16.30999947
"327","2016/10/13",16.40999985
"328","2016/10/14",15.77000046
"329","2016/10/17",15.94999981
"330","2016/10/18",16.54999924
"331","2016/10/19",16.35000038
"332","2016/10/20",16.70000076
"333","2016/10/21",16.54999924
"334","2016/10/24",16.45000076
"335","2016/10/25",15.89999962
"336","2016/10/26",15.19999981
"337","2016/10/27",14.89999962
"338","2016/10/28",16.14999962
"339","2016/10/31",16.25
"340","2016/11/01",16.5
"341","2016/11/02",15.94999981
