"","date","ZM","DOCU","TEAM","RNG","index"
"1",2018-04-27,NA,NA,NA,NA,0
"2",2018-04-30,-0.716923986220132,-0.850257271057593,-1.58542043197124,-0.717651176692319,-3.87025286594129
"3",2018-05-01,-0.716923986220132,-0.863612544875133,-1.57913232947042,-0.72099570215478,-3.88066456272046
"4",2018-05-02,-0.716923986220132,-0.853661275452343,-1.57620917239783,-0.711438200417133,-3.85823263448744
"5",2018-05-03,-0.716923986220132,-0.855240693388568,-1.57362140163943,-0.699005963755678,-3.84479204500381
"6",2018-05-04,-0.716923986220132,-0.823042164695838,-1.55081714650028,-0.696135774023149,-3.7869190714394
"7",2018-05-07,-0.716923986220132,-0.83368129327356,-1.53379563403628,-0.69996257292291,-3.78436348645288
"8",2018-05-08,-0.716923986220132,-0.83099347068366,-1.50389090644445,-0.682736066309406,-3.73454442965765
"9",2018-05-09,-0.716923986220132,-0.807587188938092,-1.49735633803563,-0.676511785598263,-3.69837929879212
"10",2018-05-10,-0.716923986220132,-0.796762078419086,-1.48460247062091,-0.662140857336882,-3.66042939259701
"11",2018-05-11,-0.716923986220132,-0.797870339018636,-1.47308057436936,-0.623773874524209,-3.61164877413234
"12",2018-05-14,-0.716923986220132,-0.793435763471291,-1.47792340149037,-0.642965078125849,-3.63124822930764
"13",2018-05-15,-0.716923986220132,-0.795653561469721,-1.50537984818564,-0.646801450769432,-3.66475884664493
"14",2018-05-16,-0.716923986220132,-0.779984476935394,-1.51315949159351,-0.658306983105788,-3.66837493785482
"15",2018-05-17,-0.716923986220132,-0.782825810069851,-1.51350236274932,-0.640087320114076,-3.65333947915338
"16",2018-05-18,-0.716923986220132,-0.786899715371622,-1.51498788249579,-0.626653443904144,-3.64546502799168
"17",2018-05-21,-0.716923986220132,-0.788380358923407,-1.49483152621093,-0.629052875486043,-3.62918874684051
"18",2018-05-22,-0.716923986220132,-0.810535135966717,-1.51670124026842,-0.650637269264271,-3.69479763171954
"19",2018-05-23,-0.716923986220132,-0.809675525089365,-1.51475937233061,-0.666932239780711,-3.70829112342081
