"","date","TDOC","VEEV","PHG","MDRX","OMCL","index"
"1",2015-06-30,NA,NA,NA,NA,NA,0
"2",2015-07-01,-0.76801494514307,-1.31322531316806,-0.809133239975038,0.195984326471735,-0.857403893143964,-3.55179306495839
"3",2015-07-02,-0.61775649943407,-1.31069572066781,-0.784646859916693,0.161555934099545,-0.854773213036137,-3.40631635895516
"4",2015-07-06,-0.625698559884685,-1.31256549375612,-0.776777198192559,0.11461376437716,-0.857140762672378,-3.45756825012858
"5",2015-07-07,-0.646492078699309,-1.31443487155991,-0.828375030469715,0.0958393997310834,-0.860297888951075,-3.55376046994892
"6",2015-07-08,-0.641414784983299,-1.30937565632811,-0.841495433640533,0.0489133376821578,-0.85161688376354,-3.59498942103332
"7",2015-07-09,-0.653471127035633,-1.31520449644674,-0.860739692518975,-0.0198796223920699,-0.846094450809791,-3.6953893892032
"8",2015-07-10,-0.646968016424039,-1.31366517946308,-0.836247224098906,-0.00737519945876208,-0.845305694676778,-3.64956131412156
"9",2015-07-13,-0.605361107710588,-1.3124555155469,-0.739185585319353,0.0614254869284772,-0.816414070564329,-3.41199079221269
"10",2015-07-14,-0.578641407364881,-1.31003571300726,-0.740933752080437,0.0927107721836133,-0.809071585859762,-3.34597168612872
"11",2015-07-15,-0.562723942236424,-1.30343289628198,-0.734815484135633,0.158426446392111,-0.794927252588116,-3.23747312885004
"12",2015-07-16,-0.582937524865434,-1.30530418580132,-0.745304147756028,0.155296684705371,-0.812479962233855,-3.29072913595127
"13",2015-07-17,-0.578800509272854,-1.30497397893277,-0.728697642082968,0.177204922560599,-0.7928337943277,-3.2281010020557
"14",2015-07-20,-0.584369418866843,-1.3109157193782,-0.726075771600407,0.571206764420473,-0.799639534364178,-2.84979367978916
"15",2015-07-21,-0.595662656879402,-1.31520449644674,-0.725201832915035,0.552481164860841,-0.801996628822541,-2.88558445020287
"16",2015-07-22,-0.585960323268956,-1.3189417302659,-0.720832445216826,0.577447196820582,-0.814840183516142,-2.86312748544724
"17",2015-07-23,-0.576572632794192,-1.32135907668401,-0.718210823771863,0.658514685184475,-0.803568403637092,-2.76119625170269
"18",2015-07-24,-0.585323961005698,-1.31674356462041,-0.712094208234029,0.539994520830563,-0.79388040849961,-2.86804762152918
"19",2015-07-27,-0.559698593848098,-1.31861203129979,-0.734815484135633,0.358715579228492,-0.787079328289818,-3.04148985834484
"20",2015-07-28,-0.573071312875307,-1.32531329211965,-0.658813649273862,0.358715579228492,-0.821137054522418,-3.01961972956275
"21",2015-07-29,-0.580709992714482,-1.32344625304046,-0.616918985195379,0.358715579228492,-0.797544825226527,-2.95990447694836
"22",2015-07-30,-0.568932806371517,-1.32421507941217,-0.630007864513993,0.380612131197152,-0.796235938840104,-2.93877955794063
"23",2015-07-31,-0.579437028904259,-1.32783863035335,-0.617791506124393,0.421265751811194,-0.803306372084762,-2.90710778565557
"24",2015-08-03,-0.568932806371517,-1.32542310773958,-0.60383313889205,0.440023800700352,-0.888718471951645,-2.94688372425444
"25",2015-08-04,-0.542974495780178,-1.3323384601976,-0.594238755654108,0.396249768996315,-0.87529726321722,-2.94859920585279
"26",2015-08-05,-0.517155696599502,-1.33475202359375,-0.609067074419265,0.383739644269564,-0.880823861182497,-2.95805901152545
"27",2015-08-06,-0.545204866165133,-1.33102169684018,-0.616918985195379,0.461903083058153,-0.873191841346183,-2.90443430648872
"28",2015-08-07,-0.560972474801706,-1.34155005771498,-0.608194689572745,0.421265751811194,-0.887139603754568,-2.9765910740328
"29",2015-08-10,-0.580709992714482,-1.33957702673848,-0.596855282567842,0.468153457678872,-0.893717601459954,-2.94270644580188
"30",2015-08-11,-0.586437584674393,-1.33475202359375,-0.567209574505872,0.505644534580581,-0.896874576983106,-2.87962922517654
"31",2015-08-12,-0.61362546696524,-1.34078282079721,-0.595110917144344,0.436897667215369,-0.898715893382778,-3.0113374310742
"32",2015-08-13,-0.61759762449846,-1.34461830474949,-0.625644628954221,0.408758503484278,-0.903449929561747,-3.08255198427964
"33",2015-08-14,-0.597252815390746,-1.34472786584388,-0.644845514694084,0.361843922181288,-0.915541117403537,-3.14052339115096
"34",2015-08-17,-0.617438748399896,-1.3439609281506,-0.644845514694084,0.321171333002106,-0.895033107714532,-3.180106965957
"35",2015-08-18,-0.606155905480587,-1.34111165439773,-0.654448333723096,0.371228217032195,-0.901083066128187,-3.1315707426974
"36",2015-08-19,-0.620933691473121,-1.34264599440183,-0.648337335900204,0.358715579228492,-0.906605175301595,-3.15980661784826
"37",2015-08-20,-0.643953601206696,-1.34319391793844,-0.675404850745094,0.336815902145152,-0.910022637901564,-3.23575910564664
"38",2015-08-21,-0.64950608640911,-1.35206489914688,-0.744430018752403,0.224153752494518,-0.938106357765155,-3.45995360957903
"39",2015-08-24,-0.663142176922919,-1.35469144823382,-0.780274669597049,0.145907873759809,-0.953542994024964,-3.60574341501894
"40",2015-08-25,-0.691014560153268,-1.36431461620003,-0.831873658614484,0.0270201315544065,-0.985035377713381,-3.84521808112675
"41",2015-08-26,-0.701770220854376,-1.36737403844392,-0.867737815377481,-0.010501231876928,-0.962417241509977,-3.90980054806268
"42",2015-08-27,-0.668847148149045,-1.36278445912088,-0.814380771778421,0.161555934099545,-0.936534205872919,-3.62099065082172
"43",2015-08-28,-0.65537405382634,-1.35567618189033,-0.770656747996762,0.195984326471735,-0.950145467697797,-3.5358681249395
"44",2015-08-31,-0.630144809495995,-1.3306924633575,-0.778526004183869,0.233543422842469,-0.952759094113349,-3.45857894830824
